Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Logistic Regression,0.7757920389926889,0.6598984771573604,0.21138211382113822,0.32019704433497537,0.7225943190671754
Random Forest,0.7761982128350934,0.6194029850746269,0.26991869918699185,0.37599093997734995,0.7341714315897897
Gradient Boosting,0.7871649065800163,0.7156398104265402,0.24552845528455283,0.36561743341404357,0.7594209022761585
SVM,0.7502030869212023,0.0,0.0,0.0,0.6895554645855067
